ERR6501829	ERR6501833	ERR6501834	SRR10813970	SRR10813971	SRR10813972	SRR10813973	SRR10813976	SRR10813977	SRR12005388	SRR12005389	SRR12005390	SRR12005391	SRR12898817	SRR12898818	SRR12898819	SRR12898823	SRR12898824	SRR12898825	SRR12933780	SRR12933782	SRR12933784	SRR17085048	SRR17085049	SRR17085050	SRR17085051	SRR17085052	SRR17085053	SRR17085054	SRR17085055	SRR3290608	SRR3290609	SRR3290610	SRR3290611	SRR3290612	SRR3290613	SRR5984237	SRR5984238	SRR5984239	SRR9336401	SRR9336402	SRR9336403	SRR9336404
stx1b	870	2379	2416	18	10	26	6	4	16	1392	1207	592	1778	7675	11086	14820	535	2094	5218	220	835	660	197	606	161	178	103	312	234	249	238	340	89	137	295	406	192	176	218	5	1	0	0
ankar	4	13	14	42	11	7	18	22	32	6	39	20	35	9	10	17	6	16	16	3	25	0	37	82	66	61	12	96	36	66	11	23	4	5	9	11	1	5	1	20	11	4	6
ofd1	325	315	308	291	101	131	102	96	137	873	717	765	698	489	932	626	141	713	348	33	412	377	203	376	236	185	109	260	300	241	308	477	241	288	226	274	172	157	168	237	210	178	183
asnsd1	581	530	397	1061	282	348	337	302	392	1309	1275	1181	1629	895	2042	1385	330	2159	1013	129	1404	922	1072	1337	1144	882	455	1014	1072	941	318	543	340	231	475	485	122	72	124	459	559	424	583
gtf2e1	554	458	399	610	253	283	276	210	328	1116	1298	948	1530	1506	3002	2657	240	1611	941	77	784	713	869	994	989	725	376	728	1001	791	178	377	198	150	227	323	154	98	118	278	290	364	324
slc1a4	337	590	542	87	55	28	50	27	95	644	606	322	956	1696	2718	3728	2767	11457	5940	518	5513	4078	464	549	500	390	278	672	625	828	115	311	93	782	216	650	76	64	82	13	61	60	34
TTN	22811	13481	19348	101986	63290	53759	74715	49396	41907	112470	76414	86662	73963	113	1765	231	208	1432	1030	123	969	677	74858	24914	70128	30696	14699	42882	47779	40448	46055	160150	118829	87297	75550	72771	103626	71051	84460	66472	93469	63002	82002
ZNF281	698	1005	760	446	235	190	212	197	247	2716	2421	2040	2684	3526	7916	7732	234	1751	2340	73	913	668	668	1122	737	656	366	827	849	809	1108	2607	1333	1570	1033	1229	381	251	385	60	97	96	133
ell	960	764	752	2812	1088	1023	737	718	842	3843	3378	3442	3675	1702	3548	2722	578	5305	2855	193	2456	1708	1836	1887	1844	1345	695	1611	1951	1612	387	711	326	369	455	462	262	209	279	795	971	1292	1237
tamalin	473	408	436	1257	645	769	800	783	661	956	749	722	518	1319	2909	1143	1171	8985	3645	116	3536	1683	882	894	1108	716	390	947	1137	782	80	383	144	168	252	170	81	59	51	1176	978	880	1132
DNAH6	56	74	70	31	4	13	13	10	10	196	142	115	217	19	64	48	31	80	67	8	80	14	188	412	294	160	23	346	187	330	41	18	18	44	12	21	8	7	12	35	5	6	0
ptpn4a	1053	1016	944	1605	466	550	662	566	763	4783	3685	3719	4597	1287	2299	1919	181	2032	1973	105	886	715	1048	1104	1053	762	370	793	1032	876	838	1285	718	1351	1250	1815	262	179	216	418	517	433	445
opn1mw4	0	0	0	0	0	0	0	0	0	37	32	34	17	0	0	0	23	16	14	0	30	0	60	44	160	50	3	84	38	52	0	1	0	0	0	0	0	0	0	0	0	0	0
osgepl1	92	95	79	112	54	88	49	74	59	210	162	208	147	110	142	142	59	181	77	19	140	90	106	92	118	70	91	96	156	90	26	77	34	41	34	76	14	14	19	82	75	124	91
psmb9a	0	0	2	1277	165	236	81	142	179	20	19	14	48	14	15	10	42	46	20	6	0	5	7	46	4	8	16	24	26	24	3	0	0	0	3	0	0	0	0	131	234	108	509
creg2	1724	1564	1324	3579	1827	1989	1943	1584	1739	3938	3598	4175	5472	467	691	664	818	3969	1825	103	1745	1570	2073	1659	1924	1342	950	2104	2339	1694	348	1421	696	822	891	1054	106	61	98	1666	1558	1615	1462
sypl2b	583	516	448	604	313	260	271	217	417	1047	792	740	1050	443	881	568	1623	5895	2151	90	1982	1604	1314	1604	1399	1178	655	1531	1443	1307	219	397	298	349	278	419	69	36	42	221	216	131	203
daxx	587	557	571	750	254	250	277	213	320	1860	1432	1155	1693	2537	4450	3868	690	2394	1277	110	1384	1031	1088	1647	1400	1131	673	1327	1532	1099	608	777	376	366	382	377	301	234	304	97	153	155	217
slc6a22.1	449	466	436	1221	351	346	391	429	308	2712	3049	2565	4341	543	808	652	291	2622	1197	38	2025	1006	1358	1307	1130	951	381	1063	1195	1039	110	166	123	142	190	306	74	53	62	491	318	398	360
lcmt2	132	123	107	62	22	31	14	8	30	241	174	189	217	88	134	130	31	304	154	5	99	138	197	174	182	106	41	155	234	169	32	49	24	65	43	47	19	15	17	6	16	24	30
znf511	111	123	89	165	41	42	80	47	65	374	357	202	291	401	529	460	556	543	321	18	275	248	233	417	330	269	181	244	319	237	113	191	100	277	82	139	44	38	46	68	99	73	90
spi1b	126	70	69	974	254	356	223	204	1288	699	426	305	582	65	227	28	190	639	240	15	131	159	549	378	346	187	161	406	373	428	242	477	372	278	237	245	49	30	29	246	99	162	716
scfd1	1161	980	887	1207	428	531	457	383	490	2970	2496	2701	3697	3670	5012	4955	2691	8272	4457	492	4331	4003	1686	2626	2089	1956	1271	1706	2241	1925	423	786	306	651	531	883	190	134	184	663	681	643	800
nr4a1	4880	10044	8548	4648	2791	3999	7892	8961	4226	2317	1478	1304	1283	9321	13572	11389	2549	23753	19054	849	13239	9089	984	812	721	1019	426	637	659	517	32	189	73	225	372	355	111	76	78	19530	10063	7116	7822
rassf6	380	179	210	13	5	5	12	2	8	1874	1747	1567	1718	47	51	52	73	241	112	22	198	174	346	1306	490	897	351	691	626	490	138	222	93	396	331	423	39	29	36	0	2	0	0
telo2	308	374	273	305	120	143	126	112	120	691	579	549	872	650	1360	958	162	1190	639	69	574	443	645	983	879	596	212	674	822	753	167	302	135	100	164	270	75	74	72	98	122	94	63
snx9a	906	889	762	582	188	205	295	307	236	2829	2480	2636	3566	275	1051	259	138	1872	1031	37	1309	844	567	578	743	570	157	572	652	505	239	408	256	248	343	426	180	140	153	500	298	209	288
dstyk	2940	2768	2078	1870	907	927	814	953	788	5563	3807	4790	4755	2109	3200	2260	420	3742	1492	171	2092	1262	602	689	595	559	654	537	603	480	628	965	408	706	851	1113	287	267	361	685	499	676	861
mapk14a	1591	1412	1169	1427	637	768	657	817	1079	2687	2432	2870	4923	2058	3741	3086	1918	9182	4846	271	4143	3134	3419	4754	3780	2513	1300	3705	3583	3158	462	1149	431	502	690	845	138	130	185	230	295	213	219
scrib	3975	3809	3404	3831	1671	1734	1883	1788	1121	14249	13380	11731	15929	3917	8943	6921	178	2682	2623	86	1635	1293	4938	4639	6131	3897	1902	4449	5302	4014	3874	7254	4015	4816	4525	5258	1494	1077	1535	1184	2201	1495	1620
zgc:56699	137	77	123	122	65	80	30	50	31	269	147	162	209	294	522	444	1188	1105	478	44	446	511	550	782	652	555	363	740	852	585	119	149	115	182	148	129	33	28	41	9	5	4	0
skap2	230	117	118	409	132	179	147	124	317	493	453	482	689	45	58	29	151	406	115	3	215	157	156	239	126	163	81	187	163	131	44	93	48	56	111	115	10	8	17	86	67	106	222
unk	366	502	272	493	150	177	192	174	201	912	752	661	946	622	1504	1395	49	670	614	13	388	267	448	731	696	630	144	616	700	436	380	679	463	347	353	483	104	56	62	40	68	78	92
dzip1	849	661	467	189	123	100	73	46	108	1910	1165	1299	1277	1304	2691	1866	242	1767	996	118	745	1028	740	1295	1116	1022	418	928	924	878	716	1162	508	592	623	851	210	128	157	30	12	21	21
ncor2	4349	4723	3892	5144	2253	2502	2268	2068	2186	14015	12492	11847	16903	4528	10386	7472	1640	6567	4147	246	3401	2807	4155	4770	4290	3735	2344	3869	5012	3889	3628	5574	4173	5138	5554	6538	2123	1631	2301	1474	1489	1171	1613
MYH9	20284	15510	14418	20102	9956	11188	11244	9788	12230	35339	28348	26376	37694	6614	19162	5190	675	13792	8512	345	7178	5478	5073	7715	6640	6805	901	4856	7351	4948	7499	11247	5853	5585	8856	8526	5977	4689	6766	3343	3118	2731	3778
znf384a	1385	1252	1143	954	513	568	649	516	802	4783	3091	2831	3691	1244	2976	2397	3170	4300	3025	30	1036	871	1113	1128	1109	819	769	891	1070	783	1563	3547	2347	2484	1762	2076	433	339	492	224	384	246	428
bysl	3828	2957	2664	1532	787	745	745	846	717	4401	3383	4347	4653	2673	4050	3118	3163	6857	2236	500	5089	3994	2801	3473	3249	2455	1526	3390	4165	2554	299	712	240	168	502	586	227	208	260	768	636	757	1253
slc17a6a	75	275	174	2	1	0	0	0	0	125	101	72	64	1497	2762	2572	17	130	342	23	63	89	57	32	35	38	2	43	40	13	0	27	15	6	3	2	5	3	3	0	0	0	0
dicer1	2054	2041	1981	2421	806	881	1137	985	718	9513	9181	8605	12674	3219	7883	5231	346	2987	1839	91	1238	872	4470	5607	5032	3827	1957	3333	4440	3892	5927	10045	5700	7119	6419	8017	1185	909	1244	378	795	497	646
RIMBP2	177	348	247	19	4	8	8	8	4	288	187	200	219	321	458	351	22	97	135	10	104	39	99	169	185	107	39	215	105	118	121	253	63	111	125	234	21	30	22	5	0	3	17
hsd17b8	324	267	243	584	205	231	249	202	215	819	630	764	692	82	148	135	388	451	161	40	713	608	1155	985	1229	974	580	1261	1419	1057	43	122	76	53	89	110	53	40	40	354	618	531	464
arl14ep	456	421	339	347	131	167	135	113	164	1133	941	815	1199	1619	2465	2493	2505	2059	909	180	1166	1222	830	1196	769	870	535	860	1199	689	150	276	143	68	230	251	62	82	81	229	249	237	279
mycbp2	4296	4637	4560	7408	2971	3176	3157	2569	2558	10196	7312	6219	10744	3411	7473	5119	1377	3800	2416	145	1603	1224	3896	3836	4121	2918	1952	3257	4335	3268	3292	5529	3824	3841	4875	5252	2450	1812	2307	2361	2215	1962	2550
map4k2	585	528	510	3137	1387	1126	1048	830	906	1528	820	850	1958	914	1626	579	392	3945	1440	33	2446	910	971	665	1006	574	212	644	884	472	93	385	185	153	183	342	109	98	109	1331	1327	1147	1550
puf60b	2976	2947	2432	2413	1070	1156	1140	1064	1062	6016	4831	4696	6737	9228	15069	15589	3191	16800	6980	875	8775	7033	4214	5658	4710	3985	2280	4983	5503	4375	1499	2829	1167	1348	1500	1936	414	344	501	1002	1070	944	1132
srrm1	3919	3455	2895	7212	3027	3498	3826	2856	3396	17744	11988	11802	12868	7097	12515	10910	1223	12416	6406	541	6670	4949	6394	6982	5612	5298	2536	5808	6885	5288	6357	9829	4351	5347	4102	5785	1054	738	1043	2881	3097	3035	4765
pcgf1	130	127	134	143	42	52	52	53	80	425	427	321	510	1114	1617	1982	1131	1171	546	61	663	447	575	662	543	370	220	444	613	483	65	143	47	78	53	56	44	24	43	47	68	66	35
GAS2	102	89	79	48	10	24	15	26	12	216	195	147	147	19	34	26	0	26	17	2	49	71	16	19	48	27	15	53	34	41	9	28	28	8	27	22	23	20	20	0	11	3	0
psmb8a	1	1	0	1692	546	528	162	343	725	68	54	42	50	0	0	0	5	8	15	2	1	4	0	8	0	5	0	24	0	0	1	0	0	0	0	1	0	0	0	412	719	275	1843
g2e3	295	353	256	38	5	6	3	6	26	677	571	501	721	3921	7952	7151	354	3488	1655	100	1385	1202	1432	1896	1546	1349	604	1665	1635	1352	504	803	252	391	289	379	112	93	118	0	5	6	19
slc6a22.2	385	268	319	280	94	90	63	118	165	5992	8041	7219	9018	31	94	41	477	2611	1374	17	683	657	294	346	276	316	117	316	389	236	68	237	69	76	117	103	69	39	55	117	49	79	85
actn3b	7884	4551	2721	53	29	29	20	18	22	71033	55750	52053	52317	34	59	27	82	514	530	65	331	422	245	448	246	375	145	228	377	986	61	114	214	507	871	338	329	397	322	27	8	11	0
slc2a1a	499	1284	618	1128	365	466	654	1034	778	168	93	80	57	6	8	23	10	170	208	4	24	27	20	14	27	26	5	30	31	30	3	1	21	2	5	7	9	0	6	1162	3121	1126	1305
inppl1b	342	165	166	327	135	121	102	127	159	2129	1659	1679	1072	69	62	51	77	643	415	26	202	305	93	138	108	120	11	137	141	89	63	82	55	155	245	239	22	20	17	86	49	62	55
mier1b	432	427	359	437	162	221	227	201	294	1443	1512	1195	1516	286	503	447	202	376	269	13	231	134	526	596	536	474	367	550	524	428	371	749	451	434	437	501	149	131	159	111	161	127	105
adam8a	216	295	275	222	138	84	41	49	311	549	515	372	672	679	1247	458	753	5305	1660	66	2445	883	1785	1793	1525	1053	654	1209	2268	2152	303	694	581	487	431	350	126	90	142	13	43	47	49
tdh2	1013	1007	1077	258	176	203	207	140	179	796	675	600	593	382	249	581	137	454	697	73	185	107	76	153	76	62	23	207	67	96	42	38	47	43	15	48	17	3	9	225	193	223	134
mhc1zea	557	485	455	711	307	323	294	250	365	1353	893	1065	2750	546	979	572	688	3513	1447	55	1624	1137	450	553	316	248	184	400	552	436	143	304	211	133	236	251	95	88	111	305	570	437	425
skap1	15	13	28	119	9	28	32	29	63	124	153	91	158	52	87	57	31	216	102	3	98	104	84	118	82	50	19	171	87	109	9	11	2	4	6	4	0	2	9	12	10	15	15
sp3a	743	706	731	276	92	132	138	102	137	879	716	701	793	2875	5862	3739	463	4856	1975	208	2888	2188	694	1036	2018	1784	827	935	816	475	854	1195	667	901	655	783	417	379	548	45	59	38	89
tomm34	482	417	400	775	238	288	264	221	484	694	554	454	1494	1245	1664	2134	1558	5041	2286	164	2074	1659	1401	1548	1657	1194	737	1314	1553	1319	104	237	144	200	260	242	69	77	113	235	153	229	110
kifc1	856	741	631	94	56	55	18	41	54	2215	1766	1333	1600	5451	9670	8590	822	5354	2041	248	2307	2052	1720	2827	2052	1983	886	2007	2405	2090	1265	1894	996	819	751	908	308	280	356	29	61	16	92
prf1.3	16	10	7	12	12	8	2	1	0	25	52	32	40	0	0	0	0	3	5	2	7	2	37	66	8	0	0	54	8	14	0	3	1	0	3	0	0	0	4	0	0	0	0
echs1	2678	2247	2247	7450	2804	3133	3919	3377	2321	8263	8288	8676	11252	2511	3653	3690	5630	9884	4775	409	5769	4790	7798	6622	7851	5506	3606	6518	9164	6644	290	1071	889	622	806	843	439	292	367	5041	6894	4937	5412
nfyal	347	307	259	211	53	84	115	73	89	521	365	363	421	659	881	751	140	643	304	35	372	338	250	460	377	300	226	300	394	251	148	295	128	219	152	180	47	57	73	79	82	50	51
kirrel1a	2438	2146	1752	1032	580	575	577	479	570	5855	4104	3285	4668	1367	2979	1538	474	1230	1164	34	671	752	1126	1976	1709	1186	777	1466	1510	1203	2038	2726	1656	2226	2392	2288	592	374	637	124	131	117	86
psmb13a	1	0	0	1423	208	281	100	214	236	60	38	20	30	0	9	0	2	4	0	0	0	1	10	25	55	4	1	37	23	32	0	0	0	0	0	1	0	0	0	302	423	250	885
gpm6bb	662	1294	955	274	131	164	90	75	209	1724	1345	1108	1475	1078	2532	2490	296	731	895	41	495	468	266	334	286	195	79	244	283	336	344	540	242	247	128	113	113	71	95	9	32	21	41
uckl1a	51	160	103	17	9	8	6	5	0	177	127	130	123	28	10	20	8	79	96	13	30	34	32	170	112	47	17	79	65	85	82	78	34	45	52	68	4	2	4	0	4	5	0
FLOT1	1340	1471	1248	260	96	104	100	77	68	4046	3532	2809	2902	4027	5964	9168	877	5194	4476	149	1213	1337	13523	6672	11867	6593	3396	7601	10513	7392	887	3440	1763	998	978	966	944	763	980	80	128	76	60
oc90	1	1	3	17	22	6	21	11	12	59	63	44	72	34	186	148	12	55	41	2	53	42	111	131	140	40	1	105	114	111	429	404	87	31	15	5	6	4	12	0	16	24	7
strn3	2792	2822	2352	6985	2750	2666	3492	3163	2518	7667	6288	6078	8670	1780	2879	2545	846	4288	2216	165	2117	1363	3421	2942	3643	2429	2065	2741	4042	2795	1878	4424	2618	3036	2841	3309	867	637	778	2131	2024	1661	1593
gulp1a	554	451	352	455	288	429	207	147	477	1328	1057	938	1097	783	1134	1103	1668	5347	2974	203	1456	1644	315	454	503	367	255	449	495	489	93	164	144	255	254	239	41	36	41	110	49	144	85
fkbp8	803	742	603	946	579	735	580	506	1102	2266	1749	1782	2691	733	1280	1444	545	2909	1710	168	1496	1386	1212	1002	1273	763	465	966	1312	807	133	445	293	288	198	221	106	83	104	836	780	586	750
noc2l	1764	1282	1243	819	376	368	322	312	464	2023	1997	1910	1855	1931	3179	3248	765	5145	1923	221	3136	2613	2398	2811	2588	1878	897	2391	3467	2058	694	961	628	566	627	674	282	161	351	67	107	171	150
slc29a2	363	351	241	148	45	57	13	33	64	1318	917	619	958	3358	4472	4239	490	2656	1350	80	1253	835	582	971	365	598	316	725	584	498	181	485	210	99	163	123	36	32	34	7	75	9	45
ptpra	1634	1952	1337	2235	942	1111	1176	984	904	4813	3822	3707	5263	955	2512	1503	548	4210	1628	76	1408	899	1342	1424	1494	1103	597	1209	1403	1126	2075	3164	1851	2038	2084	2254	754	579	804	401	536	505	513
otol1a	16	8	4	0	1	1	0	3	1	34	14	20	31	5	2	2	4	0	0	0	2	4	16	28	8	9	3	16	5	10	5	16	5	16	2	5	0	2	3	0	4	2	10
STIM2	209	160	146	99	24	22	25	21	26	452	483	276	652	266	722	280	61	672	433	21	380	228	241	183	279	168	80	431	252	213	76	181	86	184	168	153	68	46	83	0	10	12	1
nup155	2214	2439	2011	1454	595	635	762	645	619	3540	3112	3083	4543	1919	4296	2417	324	1901	693	72	878	720	1529	2264	1639	1651	592	1822	2026	1410	1382	1770	598	1064	1079	1463	437	340	516	414	416	426	434
tspan11	183	137	152	234	70	94	125	110	121	501	395	370	366	105	236	130	170	537	333	16	342	140	96	145	190	76	18	99	121	110	69	73	65	123	143	147	14	16	32	64	165	116	108
prkacba	25	18	15	179	29	39	29	34	78	404	148	215	485	0	14	0	59	364	112	0	81	132	50	106	74	32	7	101	50	121	111	25	49	87	8	66	4	13	5	27	32	19	51
irx2a	466	565	408	488	112	182	331	455	1281	641	546	676	621	899	1229	1547	48	195	215	21	215	132	3830	2506	3732	2415	1488	3019	3711	2746	461	1591	942	925	559	592	859	576	599	205	425	649	502
atp5po	10117	10045	9039	37309	17088	17036	21902	20261	11269	24428	20647	22559	29342	9582	13681	14892	51842	34807	14169	2303	25041	21013	44506	37833	43064	31270	20488	40480	52703	37460	1916	6413	3676	2181	6010	6789	1312	892	1141	37715	36141	34928	32620
kcnh6a	3766	3952	3477	23606	11522	9548	4931	4379	4026	2551	2858	2770	1926	159	430	158	104	897	696	22	477	426	14578	8084	13038	8362	4312	9016	13406	9184	1878	6618	3868	3290	2921	3943	1771	1303	1519	1906	2116	2081	2083
zgc:112148	222	160	151	140	46	43	25	50	81	1372	1039	1243	1266	21	2	10	154	118	56	8	267	275	145	299	78	281	120	233	204	168	78	177	90	67	312	299	2	4	4	83	91	109	89
tnfrsf21	441	564	465	1143	327	330	286	216	226	1658	1066	1034	1818	757	1497	1372	124	1769	1501	90	801	381	532	595	589	488	168	567	565	531	55	162	71	112	103	245	57	57	51	363	150	280	507
c3b.2	634	621	637	17	81	3	3	1	30	28036	29623	28695	43673	2	6	0	33	475	341	14	1169	664	119	173	184	82	5	169	74	164	89	12	5	41	9	104	32	53	39	0	0	0	0
CFAP43	30	32	12	23	15	22	8	4	2	82	81	45	67	64	115	54	7	66	57	6	75	27	108	151	135	110	3	137	75	120	20	34	21	21	17	27	6	2	6	22	11	7	0
zgc:112982	1252	1309	1066	2905	1177	1441	1521	1286	1612	5618	4852	5077	4589	6619	8237	10191	2652	8269	5786	255	3377	2878	2178	2767	2690	1881	1336	2228	2820	2226	1230	2344	1558	1740	1141	1368	493	373	514	931	1153	913	1193
nalcn	131	325	279	21	7	14	5	9	10	115	201	96	167	920	1902	1432	29	330	537	34	219	155	154	249	197	106	24	267	162	182	34	48	29	57	33	87	9	13	30	6	2	2	10
AFF4	1865	2135	1798	2693	1146	1122	856	639	749	5687	4442	4709	6299	935	2166	1166	224	1167	756	35	949	751	758	896	808	819	259	636	928	675	2838	4342	2289	3851	3973	5699	818	595	782	289	322	284	430
dbx1b	16	26	33	2	4	0	0	0	0	28	10	6	17	67	274	199	8	28	12	6	6	4	6	51	16	8	2	31	19	34	10	16	15	10	13	7	8	5	3	0	0	0	0
atp1a1a.4	7573	8251	10800	13	1	10	10	6	13	104623	66184	128423	126980	12	740	380	243	2786	964	398	3892	4779	94	304	96	84	33	183	63	134	12	27	21	118	413	473	65	60	105	13	36	43	25
phgdh	1311	1475	1000	8	24	17	12	8	65	972	799	752	2303	2059	5465	4400	3758	10729	5204	632	3935	5374	1645	3715	2124	2399	1175	2100	2721	2102	664	1046	292	424	519	741	104	123	122	0	0	2	4
NAV2	1710	1532	1216	5102	2307	1720	2184	1889	2473	8802	6696	6252	7855	419	1335	812	254	2403	1321	25	1251	1093	3311	3664	3247	3287	1146	2689	4210	3182	3119	4554	2037	4466	4138	5538	892	693	746	1447	1986	1790	1855
stx3b	777	778	725	1507	598	545	482	289	444	1689	1085	1341	1660	719	987	862	1212	4311	2992	199	1097	908	487	1044	679	750	318	726	591	615	317	361	154	335	575	498	60	74	60	448	363	441	460
cacnb3a	11	54	36	4	3	1	23	1	2	16	23	20	29	51	111	68	6	22	25	3	8	2	20	64	85	13	1	34	20	64	1	3	0	0	0	22	2	8	3	0	0	0	0
kbtbd12	227	201	118	1038	397	450	548	619	330	2784	1804	1943	1620	4	12	10	16	66	34	6	42	22	315	136	202	236	96	268	365	322	31	173	125	121	79	84	32	34	41	881	1259	777	918
